Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0005,NuGet package is deprecated,Active,Optional,1,BuildingBlocks\Infrastructure\CompanyName.MyMeetings.BuildingBlocks.Infrastructure.csproj,File,BuildingBlocks\Infrastructure\CompanyName.MyMeetings.BuildingBlocks.Infrastructure.csproj,,,SqlStreamStore.MsSql 1.1.3,,,,,"SqlStreamStore.MsSql, 1.1.3  Recommendation:  Should be replaced. Remove SqlStreamStore.MsSql, and replace with new package SqlStreamStore.MsSql, 1.2.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BuildingBlocks\Infrastructure\CompanyName.MyMeetings.BuildingBlocks.Infrastructure.csproj,File,BuildingBlocks\Infrastructure\CompanyName.MyMeetings.BuildingBlocks.Infrastructure.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BuildingBlocks\Infrastructure\CompanyName.MyMeetings.BuildingBlocks.Infrastructure.csproj,File,BuildingBlocks\Infrastructure\SqlConnectionFactory.cs,30,12,M:System.Data.SqlClient.SqlConnection.Open,,,,,connection.Open();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BuildingBlocks\Infrastructure\CompanyName.MyMeetings.BuildingBlocks.Infrastructure.csproj,File,BuildingBlocks\Infrastructure\SqlConnectionFactory.cs,29,12,T:System.Data.SqlClient.SqlConnection,,,,,var connection = new SqlConnection(_connectionString);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BuildingBlocks\Infrastructure\CompanyName.MyMeetings.BuildingBlocks.Infrastructure.csproj,File,BuildingBlocks\Infrastructure\SqlConnectionFactory.cs,29,12,M:System.Data.SqlClient.SqlConnection.#ctor(System.String),,,,,var connection = new SqlConnection(_connectionString);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BuildingBlocks\Infrastructure\CompanyName.MyMeetings.BuildingBlocks.Infrastructure.csproj,File,BuildingBlocks\Infrastructure\SqlConnectionFactory.cs,20,16,T:System.Data.SqlClient.SqlConnection,,,,,this._connection = new SqlConnection(_connectionString);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BuildingBlocks\Infrastructure\CompanyName.MyMeetings.BuildingBlocks.Infrastructure.csproj,File,BuildingBlocks\Infrastructure\SqlConnectionFactory.cs,20,16,M:System.Data.SqlClient.SqlConnection.#ctor(System.String),,,,,this._connection = new SqlConnection(_connectionString);
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BuildingBlocks\Tests\IntegrationTests\CompanyName.MyMeetings.BuildingBlocks.IntegrationTests.csproj,File,BuildingBlocks\Tests\IntegrationTests\CompanyName.MyMeetings.BuildingBlocks.IntegrationTests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Database\CompanyName.MyMeetings.Database\CompanyName.MyMeetings.Database.sqlproj,File,Database\CompanyName.MyMeetings.Database\CompanyName.MyMeetings.Database.sqlproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Tests\IntegrationTests\CompanyName.MyMeetings.IntegrationTests.csproj,File,Tests\IntegrationTests\CompanyName.MyMeetings.IntegrationTests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Tests\IntegrationTests\CompanyName.MyMeetings.IntegrationTests.csproj,File,Tests\IntegrationTests\SeedWork\TestBase.cs,50,12,T:System.Data.SqlClient.SqlConnection,,,,,using (var sqlConnection = new SqlConnection(ConnectionString))              {                  await ClearDatabase(sqlConnection);              }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Tests\IntegrationTests\CompanyName.MyMeetings.IntegrationTests.csproj,File,Tests\IntegrationTests\SeedWork\TestBase.cs,50,12,M:System.Data.SqlClient.SqlConnection.#ctor(System.String),,,,,using (var sqlConnection = new SqlConnection(ConnectionString))              {                  await ClearDatabase(sqlConnection);              }
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Modules\Administration\Application\CompanyName.MyMeetings.Modules.Administration.Application.csproj,File,Modules\Administration\Application\CompanyName.MyMeetings.Modules.Administration.Application.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Modules\Administration\Tests\ArchTests\CompanyName.MyMeetings.Modules.Administration.ArchTests.csproj,File,Modules\Administration\Tests\ArchTests\CompanyName.MyMeetings.Modules.Administration.ArchTests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Modules\Administration\Domain\CompanyName.MyMeetings.Modules.Administration.Domain.csproj,File,Modules\Administration\Domain\CompanyName.MyMeetings.Modules.Administration.Domain.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Modules\Administration\Tests\UnitTests\CompanyName.MyMeetings.Modules.Administration.Domain.UnitTests.csproj,File,Modules\Administration\Tests\UnitTests\CompanyName.MyMeetings.Modules.Administration.Domain.UnitTests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Modules\Administration\Infrastructure\CompanyName.MyMeetings.Modules.Administration.Infrastructure.csproj,File,Modules\Administration\Infrastructure\CompanyName.MyMeetings.Modules.Administration.Infrastructure.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Modules\Administration\Infrastructure\CompanyName.MyMeetings.Modules.Administration.Infrastructure.csproj,File,Modules\Administration\Infrastructure\Configuration\Quartz\QuartzStartup.cs,34,16,M:System.TimeSpan.FromMilliseconds(System.Double),,,,,trigger =                      TriggerBuilder                          .Create()                          .StartNow()                          .WithSimpleSchedule(x =>                              x.WithInterval(TimeSpan.FromMilliseconds(internalProcessingPoolingInterval.Value))                                  .RepeatForever())                          .Build();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Modules\Administration\Infrastructure\CompanyName.MyMeetings.Modules.Administration.Infrastructure.csproj,File,Modules\Administration\Infrastructure\Configuration\Processing\InternalCommands\ProcessInternalCommandsCommandHandler.cs,40,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,"var policy = Policy                  .Handle<Exception>()                  .WaitAndRetryAsync(new[]                  {                      TimeSpan.FromSeconds(1),                      TimeSpan.FromSeconds(2),                      TimeSpan.FromSeconds(3)                  });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Modules\Administration\Infrastructure\CompanyName.MyMeetings.Modules.Administration.Infrastructure.csproj,File,Modules\Administration\Infrastructure\Configuration\Processing\InternalCommands\ProcessInternalCommandsCommandHandler.cs,40,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,"var policy = Policy                  .Handle<Exception>()                  .WaitAndRetryAsync(new[]                  {                      TimeSpan.FromSeconds(1),                      TimeSpan.FromSeconds(2),                      TimeSpan.FromSeconds(3)                  });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Modules\Administration\Infrastructure\CompanyName.MyMeetings.Modules.Administration.Infrastructure.csproj,File,Modules\Administration\Infrastructure\Configuration\Processing\InternalCommands\ProcessInternalCommandsCommandHandler.cs,40,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,"var policy = Policy                  .Handle<Exception>()                  .WaitAndRetryAsync(new[]                  {                      TimeSpan.FromSeconds(1),                      TimeSpan.FromSeconds(2),                      TimeSpan.FromSeconds(3)                  });"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Modules\Administration\IntegrationEvents\CompanyName.MyMeetings.Modules.Administration.IntegrationEvents.csproj,File,Modules\Administration\IntegrationEvents\CompanyName.MyMeetings.Modules.Administration.IntegrationEvents.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Modules\Administration\Tests\IntegrationTests\CompanyName.MyMeetings.Modules.Administration.IntegrationTests.csproj,File,Modules\Administration\Tests\IntegrationTests\CompanyName.MyMeetings.Modules.Administration.IntegrationTests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Modules\Administration\Tests\IntegrationTests\CompanyName.MyMeetings.Modules.Administration.IntegrationTests.csproj,File,Modules\Administration\Tests\IntegrationTests\SeedWork\TestBase.cs,67,12,T:System.Data.SqlClient.SqlConnection,,,,,using (var connection = new SqlConnection(ConnectionString))              {                  var messages = await OutboxMessagesHelper.GetOutboxMessages(connection);                    return OutboxMessagesHelper.Deserialize<T>(messages.Last());              }
